Date,Year,Open,High,Low,Close,Adj Close,Volume,Company 
23-01-2024,2024,9.79,10.1,9.61,9.96,9.96,49853198,Lenovo
23-01-2024,2024,460,462.5,454.5,456.5,456.5,2468699,ASUSTeK Computer
23-01-2024,2024,46.8,47.4,46.05,47.2,47.2,43389922,Acer
22-01-2024,2024,9.84,10.18,9.65,9.82,9.82,72102761,Lenovo
22-01-2024,2024,456,465,455,459.5,459.5,4375940,ASUSTeK Computer
22-01-2024,2024,46.5,47.8,46.35,46.75,46.75,80964040,Acer
22-01-2024,2024,15.48,15.62,15.4,15.5,15.5,9414400,HP
19-01-2024,2024,9.68,9.99,9.66,9.76,9.76,61995614,Lenovo 
19-01-2024,2024,448,455,445.5,455,455,3728447,ASUSTeK Computer
19-01-2024,2024,45.8,46,45,45.95,45.95,53772738,Acer
19-01-2024,2024,15.03,15.43,14.93,15.37,15.37,13251800,HP
18-01-2024,2024,9.45,9.8,9.23,9.68,9.68,75746374,Lenovo
18-01-2024,2024,439,452.5,439,445,445,4184150,ASUSTeK Computer
18-01-2024,2024,45.2,46.3,44.95,45,45,50306629,Acer
18-01-2024,2024,15.06,15.12,14.7,14.96,14.96,15106200,HP
17-01-2024,2024,9.91,9.93,9.38,9.57,9.57,100174698,Lenovo
17-01-2024,2024,441,444.5,436.5,439,439,5024823,ASUSTeK Computer
17-01-2024,2024,45.4,45.95,44.6,44.75,44.75,60417344,Acer
17-01-2024,2024,15.15,15.2,14.91,15.04,15.04,13466800,HP
16-01-2024,2024,10.34,10.48,9.82,9.93,9.93,81049500,Lenovo
16-01-2024,2024,445.5,445.5,439,440.5,440.5,3901068,ASUSTeK Computer
16-01-2024,2024,46.1,47.15,45.6,45.7,45.7,63117425,Acer
16-01-2024,2024,15.55,15.62,15.16,15.31,15.31,19468300,HP
15-01-2024,2024,10.52,10.52,10.52,10.52,10.52,0,Lenovo
15-01-2024,2024,452,455,446,447,447,2865839,ASUSTeK Computer
15-01-2024,2024,47.2,47.75,46.2,46.25,46.25,56375392,Acer
12-01-2024,2024,10.5,10.7,10.42,10.56,10.56,35806957,Lenovo
12-01-2024,2024,459,459,445,448.5,448.5,4795879,ASUSTeK Computer
12-01-2024,2024,47.6,47.8,45.8,47,47,87845479,Acer
12-01-2024,2024,16.42,16.47,15.84,15.89,15.89,13197800,HP
11-01-2024,2024,97500,97500,95000,95000,95000,1235778,LG
11-01-2024,2024,10.4,10.76,10.32,10.58,10.58,38659129,Lenovo
11-01-2024,2024,462,463,455,461,461,2982579,ASUSTeK Computer
11-01-2024,2024,47.55,48.7,47.05,48.4,48.4,73722354,Acer
11-01-2024,2024,16.39,16.5,16.23,16.37,16.37,13319400,HP
10-01-2024,2024,98000,98900,97000,97200,97200,508980,LG
10-01-2024,2024,10.52,10.68,10.22,10.38,10.38,53999455,Lenovo
10-01-2024,2024,455,464,451.5,461,461,4530081,ASUSTeK Computer
10-01-2024,2024,47.35,48.4,46.85,47.2,47.2,59868478,Acer
10-01-2024,2024,16.11,16.47,16.01,16.43,16.43,23542000,HP
09-01-2024,2024,100100,100700,98000,98000,98000,540554,LG
09-01-2024,2024,10.5,10.88,10.5,10.62,10.62,70068024,Lenovo
09-01-2024,2024,461.5,464,453.5,455,455,3803924,ASUSTeK Computer
09-01-2024,2024,49.9,50.4,47.35,47.8,47.8,115975040,Acer
09-01-2024,2024,16.6,16.88,16.11,16.14,16.14,35499400,HP
08-01-2024,2024,97500,100300,97000,99100,99100,757089,LG
08-01-2024,2024,10.26,10.42,9.97,10.16,10.16,40283739,Lenovo
08-01-2024,2024,459,463.5,452.5,453.5,453.5,3826856,ASUSTeK Computer
08-01-2024,2024,49.1,50.9,48.3,48.45,48.45,139364341,Acer
08-01-2024,2024,17.2,17.8,17.17,17.72,17.72,11782000,HP
05-01-2024,2024,97600,97800,96800,97100,97100,472224,LG
05-01-2024,2024,10.5,10.58,10.18,10.28,10.28,54738501,Lenovo
05-01-2024,2024,456.5,461.5,451,454,454,4484646,ASUSTeK Computer
05-01-2024,2024,49,50,48.2,48.25,48.25,90253993,Acer
05-01-2024,2024,16.95,17.39,16.93,17.17,17.17,13780100,HP
04-01-2024,2024,98500,98700,97200,97800,97800,713479,LG
04-01-2024,2024,10.54,10.82,10.32,10.7,10.7,53971438,Lenovo
04-01-2024,2024,465,467,450.5,454,454,7624903,ASUSTeK Computer
04-01-2024,2024,50.2,50.6,48.75,49,49,97176046,Acer
04-01-2024,2024,17.04,17.25,16.97,17,17,13255000,HP
03-01-2024,2024,100400,101000,99400,99500,99500,489206,LG
03-01-2024,2024,10.84,10.88,10.5,10.54,10.54,54109659,Lenovo
03-01-2024,2024,478,482,459,465,465,10195898,ASUSTeK Computer
03-01-2024,2024,51.9,52.6,50.4,50.4,50.4,101860320,Acer
03-01-2024,2024,16.8,17.2,16.74,17.04,17.04,10331300,HP
02-01-2024,2024,101500,101800,100500,101400,101400,407630,LG
02-01-2024,2024,10.62,11.08,10.62,11.04,11.04,32651979,Lenovo
02-01-2024,2024,494,498,479,485,485,5194473,ASUSTeK Computer
02-01-2024,2024,54.2,54.4,51.2,52.3,52.3,116392805,Acer
