Date,Year,Open,High,Low,Close,Adj Close,Volume,Company 
23-01-2024,2024,9.79,10.10,9.61,9.96,9.96,49853198,Lenovo
23-01-2024,2024,460.00,462.50,454.50,456.50,456.50,2468699,ASUSTeK Computer
23-01-2024,2024,46.80,47.40,46.05,47.20,47.20,43389922,Acer
22-01-2024,2024,9.84,10.18,9.65,9.82,9.82,72102761,Lenovo
22-01-2024,2024,456.00,465.00,455.00,459.50,459.50,4375940,ASUSTeK Computer
22-01-2024,2024,46.50,47.80,46.35,46.75,46.75,80964040,Acer
22-01-2024,2024,15.48,15.62,15.40,15.50,15.50,9414400,HP
19-01-2024,2024,9.68,9.99,9.66,9.76,9.76,61995614,Lenovo
19-01-2024,2024,448.00,455.00,445.50,455.00,455.00,3728447,ASUSTeK Computer
19-01-2024,2024,45.80,46.00,45.00,45.95,45.95,53772738,Acer
19-01-2024,2024,15.03,15.43,14.93,15.37,15.37,13251800,HP
18-01-2024,2024,9.45,9.80,9.23,9.68,9.68,75746374,Lenovo
18-01-2024,2024,439.00,452.50,439.00,445.00,445.00,4184150,ASUSTeK Computer
18-01-2024,2024,45.20,46.30,44.95,45.00,45.00,50306629,Acer
18-01-2024,2024,15.06,15.12,14.70,14.96,14.96,15106200,HP
17-01-2024,2024,9.91,9.93,9.38,9.57,9.57,100174698,Lenovo
17-01-2024,2024,441.00,444.50,436.50,439.00,439.00,5024823,ASUSTeK Computer
17-01-2024,2024,45.40,45.95,44.60,44.75,44.75,60417344,Acer
17-01-2024,2024,15.15,15.20,14.91,15.04,15.04,13466800,HP
16-01-2024,2024,10.34,10.48,9.82,9.93,9.93,81049500,Lenovo
16-01-2024,2024,445.50,445.50,439.00,440.50,440.50,3901068,ASUSTeK Computer
16-01-2024,2024,46.10,47.15,45.60,45.70,45.70,63117425,Acer
16-01-2024,2024,15.55,15.62,15.16,15.31,15.31,19468300,HP
15-01-2024,2024,10.52,10.52,10.52,10.52,10.52,0,Lenovo
15-01-2024,2024,452.00,455.00,446.00,447.00,447.00,2865839,ASUSTeK Computer
15-01-2024,2024,47.20,47.75,46.20,46.25,46.25,56375392,Acer
12-01-2024,2024,10.50,10.70,10.42,10.56,10.56,35806957,Lenovo
12-01-2024,2024,459.00,459.00,445.00,448.50,448.50,4795879,ASUSTeK Computer
12-01-2024,2024,47.60,47.80,45.80,47.00,47.00,87845479,Acer
12-01-2024,2024,16.42,16.47,15.84,15.89,15.89,13197800,HP
11-01-2024,2024,67.11,67.11,65.39,65.39,65.39,1235778,LG
11-01-2024,2024,10.40,10.76,10.32,10.58,10.58,38659129,Lenovo
11-01-2024,2024,462.00,463.00,455.00,461.00,461.00,2982579,ASUSTeK Computer
11-01-2024,2024,47.55,48.70,47.05,48.40,48.40,73722354,Acer
11-01-2024,2024,16.39,16.50,16.23,16.37,16.37,13319400,HP
10-01-2024,2024,67.45,68.07,66.76,66.90,66.90,508980,LG
10-01-2024,2024,10.52,10.68,10.22,10.38,10.38,53999455,Lenovo
10-01-2024,2024,455.00,464.00,451.50,461.00,461.00,4530081,ASUSTeK Computer
10-01-2024,2024,47.35,48.40,46.85,47.20,47.20,59868478,Acer
10-01-2024,2024,16.11,16.47,16.01,16.43,16.43,23542000,HP
09-01-2024,2024,68.90,69.31,67.45,67.45,67.45,540554,LG
09-01-2024,2024,10.50,10.88,10.50,10.62,10.62,70068024,Lenovo
09-01-2024,2024,461.50,464.00,453.50,455.00,455.00,3803924,ASUSTeK Computer
09-01-2024,2024,49.90,50.40,47.35,47.80,47.80,115975040,Acer
09-01-2024,2024,16.60,16.88,16.11,16.14,16.14,35499400,HP
08-01-2024,2024,67.11,69.03,66.76,68.21,68.21,757089,LG
08-01-2024,2024,10.26,10.42,9.97,10.16,10.16,40283739,Lenovo
08-01-2024,2024,459.00,463.50,452.50,453.50,453.50,3826856,ASUSTeK Computer
08-01-2024,2024,49.10,50.90,48.30,48.45,48.45,139364341,Acer
08-01-2024,2024,17.20,17.80,17.17,17.72,17.72,11782000,HP
05-01-2024,2024,67.17,67.31,66.62,66.83,66.83,472224,LG
05-01-2024,2024,10.50,10.58,10.18,10.28,10.28,54738501,Lenovo
05-01-2024,2024,456.50,461.50,451.00,454.00,454.00,4484646,ASUSTeK Computer
05-01-2024,2024,49.00,50.00,48.20,48.25,48.25,90253993,Acer
05-01-2024,2024,16.95,17.39,16.93,17.17,17.17,13780100,HP
04-01-2024,2024,67.79,67.93,66.90,67.31,67.31,713479,LG
04-01-2024,2024,10.54,10.82,10.32,10.70,10.70,53971438,Lenovo
04-01-2024,2024,465.00,467.00,450.50,454.00,454.00,7624903,ASUSTeK Computer
04-01-2024,2024,50.20,50.60,48.75,49.00,49.00,97176046,Acer
04-01-2024,2024,17.04,17.25,16.97,17.00,17.00,13255000,HP
03-01-2024,2024,69.10,69.51,68.41,68.48,68.48,489206,LG
03-01-2024,2024,10.84,10.88,10.50,10.54,10.54,54109659,Lenovo
03-01-2024,2024,478.00,482.00,459.00,465.00,465.00,10195898,ASUSTeK Computer
03-01-2024,2024,51.90,52.60,50.40,50.40,50.40,101860320,Acer
03-01-2024,2024,16.80,17.20,16.74,17.04,17.04,10331300,HP
02-01-2024,2024,69.86,70.07,69.17,69.79,69.79,407630,LG
02-01-2024,2024,10.62,11.08,10.62,11.04,11.04,32651979,Lenovo
02-01-2024,2024,494.00,498.00,479.00,485.00,485.00,5194473,ASUSTeK Computer
02-01-2024,2024,54.20,54.40,51.20,52.30,52.30,116392805,Acer
02-01-2024,2024,16.87,17.01,16.72,16.93,16.93,8438200,HP
29-12-2023,2023,10.90,11.04,10.82,10.92,10.92,31825940,Lenovo
29-12-2023,2023,490.00,499.00,486.00,489.50,489.50,4588380,ASUSTeK Computer
29-12-2023,2023,54.10,55.40,53.30,53.80,53.80,137682228,Acer
29-12-2023,2023,17.15,17.19,16.90,16.98,16.98,6026700,HP
28-12-2023,2023,68.76,70.13,68.48,70.07,70.07,751858,LG
28-12-2023,2023,10.74,11.10,10.66,10.96,10.96,64991279,Lenovo
28-12-2023,2023,496.00,502.00,487.00,492.00,492.00,8089203,ASUSTeK Computer
28-12-2023,2023,53.90,56.30,53.10,54.00,54.00,209363418,Acer
28-12-2023,2023,17.10,17.18,17.07,17.17,17.17,4684900,HP
27-12-2023,2023,68.83,68.83,67.93,68.83,68.83,306136,LG
27-12-2023,2023,10.26,10.76,10.08,10.68,10.68,52360097,Lenovo
27-12-2023,2023,478.00,496.00,472.00,491.50,491.50,9912850,ASUSTeK Computer
27-12-2023,2023,51.40,54.80,50.80,54.20,54.20,173297505,Acer
27-12-2023,2023,17.27,17.28,17.01,17.09,17.09,5911700,HP
26-12-2023,2023,69.24,69.24,68.28,68.83,68.83,313537,LG
26-12-2023,2023,473.50,477.00,466.50,472.00,472.00,4336709,ASUSTeK Computer
26-12-2023,2023,49.40,50.60,48.15,50.60,50.60,144997732,Acer
26-12-2023,2023,17.08,17.29,17.05,17.23,17.23,4857100,HP
25-12-2023,2023,456.00,479.00,456.00,471.50,471.50,8903130,ASUSTeK Computer
25-12-2023,2023,47.55,49.80,46.55,49.00,49.00,127628271,Acer
22-12-2023,2023,69.10,69.10,68.14,68.62,68.62,319969,LG
22-12-2023,2023,10.46,10.52,10.22,10.30,10.30,27531387,Lenovo
22-12-2023,2023,452.00,457.50,444.50,453.50,453.50,5853517,ASUSTeK Computer
22-12-2023,2023,44.90,45.70,43.35,45.30,45.30,79600658,Acer
22-12-2023,2023,17.05,17.20,16.98,17.09,17.09,6112600,HP
21-12-2023,2023,67.79,69.10,67.79,68.48,68.48,543574,LG
21-12-2023,2023,10.26,10.50,10.10,10.40,10.40,21099219,Lenovo
21-12-2023,2023,438.50,462.00,437.50,453.50,453.50,10906506,ASUSTeK Computer
21-12-2023,2023,43.80,45.00,43.35,44.65,44.65,121159569,Acer
21-12-2023,2023,16.90,17.01,16.72,17.00,17.00,7160800,HP
20-12-2023,2023,68.14,68.48,67.66,68.28,68.28,570657,LG
20-12-2023,2023,10.32,10.60,10.30,10.38,10.38,44855392,Lenovo
20-12-2023,2023,428.50,460.50,428.00,450.00,450.00,16806479,ASUSTeK Computer
20-12-2023,2023,41.20,44.75,40.80,44.60,44.60,192160724,Acer
20-12-2023,2023,16.87,17.05,16.74,16.74,16.74,7572400,HP
19-12-2023,2023,65.39,68.34,65.25,67.66,67.66,1234344,LG
19-12-2023,2023,10.20,10.30,9.94,10.26,10.26,35578692,Lenovo
19-12-2023,2023,427.00,436.00,422.00,424.50,424.50,7021432,ASUSTeK Computer
19-12-2023,2023,39.10,40.95,39.10,40.70,40.70,114039559,Acer
19-12-2023,2023,16.88,16.92,16.76,16.83,16.83,8317600,HP
18-12-2023,2023,67.04,67.04,66.14,66.14,66.14,537938,LG
18-12-2023,2023,10.20,10.40,10.10,10.22,10.22,37058458,Lenovo
18-12-2023,2023,409.00,434.00,403.50,428.50,428.50,8165193,ASUSTeK Computer
18-12-2023,2023,37.50,39.65,36.80,38.90,38.90,61868501,Acer
18-12-2023,2023,16.78,16.83,16.56,16.79,16.79,12793900,HP
15-12-2023,2023,66.69,67.04,66.35,66.90,66.90,925632,LG
15-12-2023,2023,10.30,10.50,10.12,10.24,10.24,71572470,Lenovo
15-12-2023,2023,411.00,412.00,406.00,406.00,406.00,6241474,ASUSTeK Computer
15-12-2023,2023,37.70,37.75,36.70,37.00,37.00,20258076,Acer
15-12-2023,2023,16.88,16.94,16.61,16.72,16.72,21854000,HP
14-12-2023,2023,66.83,66.90,66.07,66.62,66.62,1033739,LG
14-12-2023,2023,10.00,10.46,10.00,10.30,10.30,66171047,Lenovo
14-12-2023,2023,410.00,416.00,404.50,411.00,411.00,4917108,ASUSTeK Computer
14-12-2023,2023,37.50,37.85,37.10,37.30,37.30,26939066,Acer
14-12-2023,2023,16.70,17.18,16.70,17.06,17.06,20993600,HP
13-12-2023,2023,66.69,66.90,65.87,65.94,65.94,547785,LG
13-12-2023,2023,9.86,10.02,9.73,9.95,9.95,37005256,Lenovo
13-12-2023,2023,395.50,412.00,394.00,407.50,407.50,8206638,ASUSTeK Computer
13-12-2023,2023,36.30,37.40,36.20,37.05,37.05,35901536,Acer
13-12-2023,2023,16.37,16.65,16.28,16.58,16.58,10730500,HP
12-12-2023,2023,66.07,66.83,65.66,66.56,66.56,980503,LG
12-12-2023,2023,9.90,9.93,9.75,9.81,9.81,34598712,Lenovo
12-12-2023,2023,396.00,399.00,392.00,393.00,393.00,2234258,ASUSTeK Computer
12-12-2023,2023,36.05,36.40,35.85,36.10,36.10,19458402,Acer
12-12-2023,2023,16.05,16.49,16.05,16.37,16.37,16224600,HP
11-12-2023,2023,65.39,66.35,64.90,65.39,65.39,1155003,LG
11-12-2023,2023,9.73,10.08,9.61,9.86,9.86,51960532,Lenovo
11-12-2023,2023,400.00,402.00,392.00,396.50,396.50,3086548,ASUSTeK Computer
11-12-2023,2023,35.50,35.85,35.40,35.75,35.75,19749602,Acer
11-12-2023,2023,16.22,16.71,16.22,16.66,16.53,13978500,HP
08-12-2023,2023,66.14,66.28,64.56,65.11,65.11,1346294,LG
08-12-2023,2023,9.54,9.76,9.47,9.56,9.56,42162442,Lenovo
08-12-2023,2023,398.00,403.50,395.50,398.50,398.50,3787748,ASUSTeK Computer
